id,name,artistString,vocalist,publishDate,ratingScore,pvServices
734953,Confessions of a Rotten Girl,SAWTOWNE feat. 初音ミク V4 (English),,2025-01-17T00:00:00Z,550,"Youtube, Bilibili, Bandcamp"
793121,Static,Various artists,,2025-05-24T00:00:00Z,357,"Youtube, Bandcamp"
752940,テレパシ,"DECO*27, tepe, OTOIRO feat. 初音ミク V4X (Original)",,2025-02-21T00:00:00Z,245,"NicoNicoDouga, Youtube, Bilibili"
749433,超主人公,ピノキオピー feat. 初音ミク V4X (Dark),,2025-02-14T00:00:00Z,244,"NicoNicoDouga, Youtube, Bilibili"
748682,Gorgon,"鬱P feat. 初音ミク V4X (Dark), 初音ミク V4X (Solid)",,2025-02-12T00:00:00Z,238,"NicoNicoDouga, Youtube, Bilibili"
750840,ELECTRIC WEEKEND ZONE,Various artists,,2025-02-17T00:00:00Z,209,"Youtube, Bandcamp"
747700,ねぇこ,TONE feat. 歌愛ユキ,,2025-02-09T00:00:00Z,205,Youtube
761077,雑魚,柊マグネタイト feat. 初音ミク,,2025-03-10T00:00:00Z,190,"NicoNicoDouga, Youtube, SoundCloud, Bilibili"
762777,ダイダイダイダイダイキライ,"雨良 feat. 初音ミク, 重音テトSV",,2025-03-15T00:00:00Z,186,"NicoNicoDouga, Youtube"
776144,クローバー♧クラブ -C♧C-,ゆうゆ feat. 初音ミク,,2025-04-12T00:00:00Z,168,"NicoNicoDouga, Youtube, Bilibili"
786030,虚無さん,¿?shimon feat. v4 flower,,2025-05-06T00:00:00Z,165,"NicoNicoDouga, Youtube"
768497,D/N/A,"Azari feat. 重音テトSV, v4 flower",,2025-03-28T00:00:00Z,164,Youtube
749801,踊っチャイナ,"Atena feat. 重音テトSV, 初音ミク",,2025-02-15T00:00:00Z,155,"NicoNicoDouga, Youtube, Bilibili"
771172,ファサード・クエスチョン,"サツキ feat. 初音ミク, 重音テト, 重音テトSV",,2025-04-01T00:00:00Z,140,"NicoNicoDouga, Youtube"
747458,ざぁこ,柊マグネタイト feat. 歌愛ユキ,,2025-02-08T00:00:00Z,137,"NicoNicoDouga, Youtube, SoundCloud, Bilibili"
788902,孤独サイコ,TAK feat. 初音ミク,,2025-05-14T00:00:00Z,136,"NicoNicoDouga, Youtube"
729113,罪と罰 (Reloaded),"DECO*27, Hayato Yamamoto, OTOIRO feat. 初音ミク",,2025-01-10T00:00:00Z,136,"NicoNicoDouga, Youtube, Bilibili"
732509,LEMON MELON COOKIE,TAK feat. 初音ミク V4X (Original),,2025-01-15T00:00:00Z,131,"NicoNicoDouga, Youtube"
753297,花弁、それにまつわる音声,あばらや feat. 初音ミク,,2025-02-22T00:00:00Z,127,"NicoNicoDouga, Youtube, Bilibili"
747843,kitty kitty cat,PipiP feat. 歌愛ユキ V4,,2025-02-09T00:00:00Z,111,Youtube
743632,デロデロデロデ,cosMo@暴走P feat. 初音ミク,,2025-01-31T00:00:00Z,110,"NicoNicoDouga, Youtube, Bilibili"
788586,プレイ,Giga feat. 初音ミク,,2025-05-14T00:00:00Z,108,"NicoNicoDouga, Youtube"
740379,ファイアダンス,"DECO*27, Giga feat. various",,2025-01-25T00:00:00Z,104,"NicoNicoDouga, Youtube"
777659,弱虫モンブラン (Reloaded),"DECO*27, Hayato Yamamoto, OTOIRO feat. 初音ミク",,2025-04-15T00:00:00Z,100,"NicoNicoDouga, Youtube, Bilibili"
741720,来都来了,"原口沙輔 feat. 重音テト, 初音ミク",,2025-01-28T00:00:00Z,99,"NicoNicoDouga, Youtube, Bilibili"
